CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.05;Ações em Tesouraria;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.05;Ações em Tesouraria;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.06;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.06;Adiantamento para Futuro Aumento de Capital;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.07;Opção de Compra;-40840.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.07;Opção de Compra;-40840.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.02.08;Bônus de Subscrição;89.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.02.08;Bônus de Subscrição;0.0000000000;N
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.03;Reservas de Reavaliação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.03;Reservas de Reavaliação;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.04;Reservas de Lucros;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.04;Reservas de Lucros;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.04.01;Reserva Legal;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.04.01;Reserva Legal;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.04.02;Reserva Estatutária;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.04.02;Reserva Estatutária;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.04.03;Reserva para Contingências;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.04.03;Reserva para Contingências;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-12-31;2.03.04.04;Reserva de Lucros a Realizar;0.0000000000;S
14.110.585/0001-07;2025-12-31;1;MÉLIUZ S.A.;025232;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-12-31;2.03.04.04;Reserva de Lucros a Realizar;0.0000000000;S
